CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Leitos complementares
Período:Fev/2020
"Município";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica I";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"353350 Novo Horizonte";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"353390 Olímpia";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"353440 Osasco";-;3;20;88;-;10;8;-;10;36;-;-;-;-;20;3;-;-;198
"353460 Osvaldo Cruz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353470 Ourinhos";-;-;-;21;-;-;6;-;-;3;-;-;2;-;4;3;-;-;39
"353550 Paraguaçu Paulista";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"353620 Pariquera-Açu";-;-;-;9;-;-;-;-;-;7;-;-;-;-;7;4;-;-;27
"353650 Paulínia";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"353730 Penápolis";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"353740 Pereira Barreto";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4
"353800 Pindamonhangaba";-;-;10;10;-;-;-;-;5;10;-;-;-;-;10;-;-;-;45
"353870 Piracicaba";-;12;22;41;54;-;5;9;7;6;19;-;20;-;11;3;-;-;209
"353930 Pirassununga";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"354060 Porto Feliz";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"354070 Porto Ferreira";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"354100 Praia Grande";-;-;-;20;-;-;10;-;-;10;-;-;-;-;-;-;-;-;40
"354140 Presidente Prudente";-;25;28;50;-;6;-;-;8;24;-;1;-;-;20;9;-;10;181
"354150 Presidente Venceslau";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"354160 Promissão";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"354220 Rancharia";-;-;5;10;-;-;-;-;-;-;-;-;-;-;2;-;-;-;17
"354240 Regente Feijó";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354260 Registro";-;-;-;10;-;-;10;-;-;-;-;-;-;-;-;-;-;-;20
"354330 Ribeirão Pires";-;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"354340 Ribeirão Preto";-;28;43;70;42;18;3;23;28;-;39;2;16;-;31;8;-;-;351
"354390 Rio Claro";-;5;4;30;-;-;4;-;-;12;-;-;-;-;8;2;-;-;65
"354400 Rio das Pedras";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354425 Rosana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"354520 Salto";-;1;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"354580 Santa Bárbara d'Oeste";-;1;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"354640 Santa Cruz do Rio Pardo";-;-;-;7;-;-;-;-;-;10;-;-;-;-;5;2;-;-;24
"354660 Santa Fé do Sul";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"354680 Santa Isabel";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"354730 Santana de Parnaíba";-;3;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;7
"354780 Santo André";10;14;174;113;12;13;17;-;25;34;-;-;-;-;20;8;-;-;440
"354850 Santos";-;5;55;63;79;5;16;10;24;13;14;-;10;-;14;5;-;-;313
"354870 São Bernardo do Campo";-;28;71;34;114;12;7;10;10;-;30;-;8;-;30;8;-;6;368
"354880 São Caetano do Sul";-;8;109;60;36;18;10;-;22;9;-;-;-;-;9;-;-;6;287
"354890 São Carlos";-;11;4;30;9;-;5;2;-;13;6;-;-;-;-;-;-;-;80
"354910 São João da Boa Vista";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"354940 São Joaquim da Barra";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"354970 São José do Rio Pardo";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"354980 São José do Rio Preto";-;4;26;57;129;-;6;39;-;18;16;-;-;14;19;12;-;27;367
"354990 São José dos Campos";-;18;18;116;66;3;19;5;17;39;10;5;14;2;16;-;-;6;354
"355010 São Manuel";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355030 São Paulo";72;358;1406;822;1125;243;190;326;434;328;191;36;109;10;449;74;2;494;6669
"355060 São Roque";-;-;-;5;-;-;-;-;-;5;-;-;-;-;-;-;-;-;10
"355070 São Sebastião";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"355100 São Vicente";-;2;10;6;-;-;-;-;-;7;-;-;-;-;4;4;-;4;37
"355150 Serrana";-;4;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"355170 Sertãozinho";-;2;6;9;-;2;3;-;2;7;-;-;-;-;6;1;-;-;38
"355220 Sorocaba";-;13;24;114;30;6;18;10;10;35;18;3;-;-;18;5;7;36;347
"355240 Sumaré";-;-;-;18;-;-;6;-;-;-;12;-;-;-;10;3;-;-;49
"355250 Suzano";-;5;10;8;-;-;-;-;10;10;-;-;-;-;13;-;-;-;56
"355280 Taboão da Serra";-;2;8;10;-;-;5;-;-;10;-;-;-;-;16;4;-;8;63
"355300 Taguaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355370 Taquaritinga";-;4;-;8;-;-;2;-;-;4;-;-;-;-;4;1;-;-;23
"355380 Taquarituba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355400 Tatuí";-;5;-;15;-;-;1;-;-;3;-;-;-;-;-;-;-;-;24
"355410 Taubaté";-;-;9;40;-;-;13;-;6;10;6;-;-;-;-;-;-;-;84
"355450 Tietê";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355500 Tupã";-;-;-;27;-;-;-;-;-;2;-;-;-;-;-;-;-;-;29
"355540 Ubatuba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;11;15
"355620 Valinhos";-;2;46;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;54
"355670 Vinhedo";-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"355700 Votorantim";-;-;7;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"355710 Votuporanga";-;-;4;14;-;-;-;-;-;10;-;-;-;-;3;2;-;-;33
"410090 Amaporã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410100 Ampére";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410120 Antonina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410140 Apucarana";-;-;-;18;-;-;2;-;-;8;-;-;-;-;4;3;-;-;35
"410150 Arapongas";-;-;-;11;68;-;-;-;-;-;-;-;-;-;-;-;-;-;79
"410160 Arapoti";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410170 Araruna";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410180 Araucária";-;-;-;9;-;-;3;-;-;6;-;-;-;-;3;-;1;3;25
"410200 Assis Chateaubriand";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"410210 Astorga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410240 Bandeirantes";-;-;-;12;-;-;-;-;-;-;-;-;-;-;3;-;-;-;15
"410250 Barbosa Ferraz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410305 Boa Vista da Aparecida";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410330 Borrazópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410370 Cambé";-;2;6;10;-;-;-;-;-;-;-;-;-;-;2;-;-;-;20
"410400 Campina Grande do Sul";-;2;-;58;-;-;10;-;-;9;-;-;10;-;-;-;-;-;89
"410420 Campo Largo";-;-;-;266;25;-;25;12;-;110;19;-;10;-;12;-;-;-;479
"410430 Campo Mourão";-;3;-;30;-;-;3;-;-;7;-;-;-;-;5;-;-;37;85
"410450 Capanema";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410460 Capitão Leônidas Marques";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410480 Cascavel";-;10;30;86;-;3;12;-;13;29;-;-;3;-;10;-;-;4;200
"410490 Castro";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"410550 Cianorte";-;1;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"410560 Cidade Gaúcha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410570 Clevelândia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"410630 Corbélia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410640 Cornélio Procópio";-;1;9;20;-;-;-;-;-;10;-;-;-;-;-;-;-;-;40
"410650 Coronel Vivida";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"410680 Cruz Machado";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"410690 Curitiba";-;68;47;256;169;-;7;64;16;43;63;5;-;-;53;6;-;96;893
"410720 Dois Vizinhos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"410765 Fazenda Rio Grande";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"410830 Foz do Iguaçu";-;5;-;58;-;-;8;-;-;10;-;-;-;-;10;-;-;-;91
"410840 Francisco Beltrão";-;5;-;35;-;-;-;-;-;10;-;-;-;-;5;-;-;-;55
"410860 Goioerê";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"410940 Guarapuava";1;6;-;24;-;-;4;-;-;16;-;-;6;-;10;-;-;-;67
"410975 Ibema";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411050 Ipiranga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"411070 Irati";-;-;-;11;-;-;-;-;-;11;-;-;-;-;-;-;-;-;22
"411110 Itambé";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411125 Itaperuçu";1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"411150 Ivaiporã";-;5;-;21;-;-;5;-;-;14;-;-;-;-;-;-;-;-;45
"411180 Jacarezinho";-;1;6;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"411190 Jaguapitã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411210 Jandaia do Sul";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;10
"411240 Japurá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411320 Lapa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"411330 Laranjeiras do Sul";-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"411350 Loanda";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"411370 Londrina";-;18;61;12;102;9;-;27;5;-;28;7;-;-;30;7;5;28;339
"411375 Lunardelli";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411420 Mandaguari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"411430 Mandirituba";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"411440 Mangueirinha";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"411450 Manoel Ribas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411460 Marechal Cândido Rondon";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;6
"411520 Maringá";-;4;17;126;13;-;19;-;-;12;18;-;11;10;9;2;-;-;241
"411540 Marmeleiro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411580 Medianeira";-;1;-;8;-;-;-;-;-;-;-;-;-;-;3;-;-;-;12
"411690 Nova Esperança";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411695 Nova Esperança do Sudoeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411710 Nova Londrina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411720 Nova Olímpia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411725 Nova Prata do Iguaçu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411722 Nova Santa Rosa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411727 Nova Tebas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411750 Paiçandu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411760 Palmas";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"411770 Palmeira";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"411790 Palotina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411820 Paranaguá";-;7;8;10;-;-;-;-;7;-;-;-;-;-;-;-;-;-;32
"411830 Paranapoema";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411840 Paranavaí";-;5;-;10;-;-;1;-;-;11;-;-;-;-;-;-;-;-;27
"411850 Pato Branco";-;1;1;21;-;-;10;-;-;12;-;-;2;-;-;-;-;-;47
"411910 Piên";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"411915 Pinhais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411930 Pinhão";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"411950 Piraquara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3
"411960 Pitanga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;4
"411980 Planalto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411990 Ponta Grossa";-;15;-;71;-;-;4;-;-;18;-;-;-;-;9;2;2;-;121
"412035 Pranchita";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"412060 Prudentópolis";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"412090 Quedas do Iguaçu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412100 Querência do Norte";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"412200 Rio Azul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412240 Rolândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412260 Rondon";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412265 Rosário do Ivaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412300 Salto do Lontra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412410 Santo Antônio da Platina";-;3;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;23
"412440 Santo Antônio do Sudoeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412510 São João do Triunfo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"412520 São Jorge d'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412550 São José dos Pinhais";-;-;9;-;10;-;-;-;-;10;-;-;-;-;8;2;-;-;39
"412570 São Miguel do Iguaçu";-;12;-;20;-;-;-;-;-;10;-;-;-;-;-;-;-;-;42
"412580 São Pedro do Ivaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412625 Sarandi";-;-;-;27;-;-;4;-;-;8;-;-;-;-;-;-;-;-;39
"412670 Tamboara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412710 Telêmaco Borba";-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"412720 Terra Boa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412730 Terra Rica";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412740 Terra Roxa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412770 Toledo";-;1;7;29;-;-;-;-;-;11;-;-;-;-;-;-;-;-;48
"412780 Tomazina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412810 Umuarama";-;7;-;54;-;-;4;-;-;23;-;-;3;-;7;2;-;-;100
"412820 União da Vitória";-;1;-;15;-;-;5;-;-;10;-;-;-;-;4;-;-;-;35
"412860 Verê";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420040 Água Doce";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420070 Alfredo Wagner";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420110 Anitápolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420127 Arabutã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420140 Araranguá";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"420200 Balneário Camboriú";-;9;-;20;10;-;-;-;-;10;-;-;-;-;-;-;-;-;49
"420240 Blumenau";-;-;-;25;40;-;10;5;-;10;5;-;-;-;12;4;-;-;111
"420290 Brusque";-;-;10;10;-;-;-;-;6;-;-;-;-;-;-;-;-;-;26
"420300 Caçador";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"420310 Caibi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420350 Campo Erê";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420360 Campos Novos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420380 Canoinhas";-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"420410 Caxambu do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420420 Chapecó";-;-;3;20;-;-;5;-;-;15;-;-;-;-;4;-;-;-;47
"420430 Concórdia";-;6;1;9;-;-;6;-;-;6;-;-;-;-;4;-;-;-;32
"420460 Criciúma";-;2;-;54;-;-;3;-;-;13;-;-;-;-;10;-;-;-;82
"420470 Cunha Porã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420480 Curitibanos";-;5;-;8;-;-;3;-;-;7;-;-;-;-;6;5;-;-;34
"420490 Descanso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420500 Dionísio Cerqueira";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420530 Faxinal dos Guedes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420540 Florianópolis";-;32;37;66;62;6;20;-;15;26;-;6;-;-;4;4;2;1;281
"420580 Garuva";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420660 Guarujá do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420690 Ibirama";-;5;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"420700 Içara";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"420730 Imbituba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"420750 Indaial";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"420760 Ipira";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420765 Iporã do Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420770 Ipumirim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420780 Irani";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420790 Irineópolis";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"420800 Itá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420820 Itajaí";-;4;-;30;-;-;8;-;-;10;-;1;-;-;10;4;-;-;67
"420840 Itapiranga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420850 Ituporanga";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"420880 Jaguaruna";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420890 Jaraguá do Sul";3;-;-;30;-;-;6;-;-;6;-;-;-;-;10;3;-;-;58
"420900 Joaçaba";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"420910 Joinville";-;23;28;49;19;5;20;-;16;30;9;2;-;-;19;2;-;-;222
"420930 Lages";-;9;-;20;-;-;7;-;-;11;-;-;-;-;7;-;-;-;54
"420940 Laguna";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420960 Lauro Muller";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420985 Lindóia do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421000 Luiz Alves";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421010 Mafra";-;2;-;22;-;-;-;-;-;9;-;-;-;-;4;-;-;-;37
"421030 Major Vieira";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421050 Maravilha";-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"421090 Modelo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421100 Mondaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421105 Monte Carlo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421120 Morro da Fumaça";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421140 Nova Erechim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421190 Palhoça";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421200 Palma Sola";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421210 Palmitos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421260 Peritiba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421290 Pinhalzinho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421340 Ponte Serrada";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421360 Porto União";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"421450 Rio do Campo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421480 Rio do Sul";-;4;-;20;-;-;2;-;-;4;-;-;-;-;7;3;-;-;40
"421500 Rio Negrinho";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"421530 Salete";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421550 Santa Cecília";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421570 Santo Amaro da Imperatriz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421580 São Bento do Sul";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"421600 São Carlos";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421625 São João do Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421650 São Joaquim";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421660 São José";-;6;-;33;20;-;-;9;-;10;-;-;-;-;10;-;-;-;88
"421670 São José do Cedro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421690 São Lourenço do Oeste";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421720 São Miguel do Oeste";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"421730 Saudades";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421750 Seara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421770 Sombrio";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421780 Taió";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421790 Tangará";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421820 Timbó";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"421830 Três Barras";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421860 Trombudo Central";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421870 Tubarão";-;5;10;30;-;2;-;4;6;-;8;-;-;-;-;-;-;-;65
"421875 Tunápolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421910 Vargeão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421920 Vidal Ramos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421930 Videira";2;-;-;18;-;-;-;-;-;-;-;-;-;-;3;-;-;-;23
"421950 Xanxerê";-;-;-;11;-;-;3;-;-;9;-;-;-;-;4;2;-;-;29
"421960 Xavantina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421970 Xaxim";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430010 Agudo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430020 Ajuricaba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430040 Alegrete";-;-;-;8;-;-;-;-;-;10;-;-;-;-;-;-;-;-;18
"430060 Alvorada";-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;10
"430160 Bagé";-;-;-;26;-;-;10;-;-;10;-;-;-;-;-;-;-;-;46
"430210 Bento Gonçalves";-;-;-;20;-;-;9;-;-;10;-;-;-;-;-;-;-;-;39
"430230 Bom Jesus";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430245 Boqueirão do Leão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430270 Butiá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430300 Cachoeira do Sul";-;-;-;10;-;-;-;-;-;10;-;-;-;-;-;6;-;-;26
